,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
976,The Room Next Door,tt29439114,The Room Next Door (2024),No,,5700000,1:46,3200000,The Room Next Door,2024.0,movie,The Room Next Door,The Room Next Door,2024,107,Drama
961,Hubie Halloween,tt10682266,Hubie Halloween,Yes,2020-10-07,5600000,1:44,3200000,Hubie Halloween,2020.0,movie,Hubie Halloween,Hubie Halloween,2020,103,"Comedy,Horror,Mystery"
970,Tall Girl 2,tt16085592,Tall Girl 2,Yes,2022-02-11,5500000,1:42,3200000,Tall Girl 2,2022.0,movie,Tall Girl 2,Tall Girl 2,2022,97,"Comedy,Drama,Family"
954,Bruce Almighty,tt0315327,Bruce Almighty,No,,5400000,1:41,3200000,Bruce Almighty,1000.0,movie,Bruce Almighty,Bruce Almighty,2003,101,"Comedy,Fantasy"
955,Charlotte's Web,tt0413895,Charlotte's Web (2006),No,,5200000,1:38,3200000,Charlotte's Web,2006.0,movie,Charlotte's Web,Charlotte's Web,2006,97,"Adventure,Comedy,Family"
958,Final Destination,tt0195714,Final Destination,No,,5200000,1:38,3200000,Final Destination,1000.0,movie,Final Destination,Final Destination,2000,98,"Horror,Thriller"
972,The Boy in the Striped Pajamas,tt0914798,The Boy in the Striped Pajamas,No,,5100000,1:35,3200000,The Boy in the Striped Pajamas,1000.0,movie,The Boy in the Striped Pajamas,The Boy in the Striped Pajamas,2008,94,"Drama,War"
975,The Ritual,tt5638642,The Ritual,No,2018-02-09,5100000,1:35,3200000,The Ritual,2018.0,movie,The Ritual,The Ritual,2017,94,"Horror,Mystery,Thriller"
974,The Platform,tt8228288,The Platform // El hoyo,No,2020-03-20,5000000,1:34,3200000,The Platform,2020.0,movie,The Platform,El hoyo,2019,94,"Horror,Mystery,Sci-Fi"
966,Slender Man,tt5690360,Slender Man,No,,4900000,1:33,3200000,Slender Man,1000.0,movie,Slender Man,Slender Man,2018,93,"Horror,Mystery,Thriller"
965,Pangolin: KuluÕs Journey,tt27931052,Pangolin: KuluÕs Journey,Yes,2025-04-21,4800000,1:30,3200000,Pangolin: KuluÕs Journey,2025.0,movie,Pangolin: Kulu's Journey,Pangolin: Kulu's Journey,2025,88,Documentary
978,American Gangster,tt0765429,American Gangster (2007),No,,8200000,2:37,3100000,American Gangster,2007.0,movie,American Gangster,American Gangster,2007,157,"Biography,Crime,Drama"
987,El infierno,tt1692190,El infierno,No,,7800000,2:29,3100000,El infierno,1000.0,movie,Hell,El infierno,2010,149,"Comedy,Crime,Drama"
980,Bad Boys II,tt0172156,Bad Boys II,No,,7500000,2:27,3100000,Bad Boys II,1000.0,movie,Bad Boys II,Bad Boys II,2003,147,"Action,Comedy,Crime"
997,The Flash,tt0439572,The Flash (2022),No,,7500000,2:24,3100000,The Flash,2022.0,movie,The Flash,The Flash,2023,144,"Action,Adventure,Fantasy"
991,GoodFellas,tt0099685,GoodFellas,No,,7400000,2:25,3100000,GoodFellas,1000.0,movie,Goodfellas,GoodFellas,1990,145,"Biography,Crime,Drama"
982,Cabrini,tt14351082,Cabrini,No,,7300000,2:22,3100000,Cabrini,1000.0,movie,Cabrini,Cabrini,2024,142,"Biography,Drama"
1002,Unbroken,tt1809398,Unbroken (2014),No,,7200000,2:18,3100000,Unbroken,2014.0,movie,Unbroken,Unbroken,2014,137,"Biography,Drama,Sport"
996,The Day After Tomorrow,tt0319262,The Day After Tomorrow,No,,6500000,2:04,3100000,The Day After Tomorrow,1000.0,movie,The Day After Tomorrow,The Day After Tomorrow,2004,124,"Action,Adventure,Sci-Fi"
989,Frida,tt0120679,Frida (2002),No,,6400000,2:03,3100000,Frida,2002.0,movie,Frida,Frida,2002,123,"Biography,Drama,Romance"
977,6 Bullets,tt1975249,6 Bullets,No,,6000000,1:55,3100000,6 Bullets,1000.0,movie,6 Bullets,6 Bullets,2012,115,"Action,Crime,Drama"
993,Luckiest Girl Alive,tt4595186,Luckiest Girl Alive,Yes,2022-10-07,6000000,1:55,3100000,Luckiest Girl Alive,2022.0,movie,Luckiest Girl Alive,Luckiest Girl Alive,2022,113,"Drama,Mystery,Thriller"
995,The Bricklayer,tt2016303,The Bricklayer (2023),No,,5700000,1:50,3100000,The Bricklayer,2023.0,movie,The Bricklayer,The Bricklayer,2023,110,"Action,Thriller"
990,Gelin Takõmõ,tt37920769,Gelin Takõmõ,No,,5600000,1:49,3100000,Gelin Takõmõ,1000.0,movie,Gelin Takimi 2,Gelin Takimi 2,2025,\N,Comedy
994,Spaceman,tt11097384,Spaceman,Yes,2024-03-01,5600000,1:49,3100000,Spaceman,2024.0,movie,Spaceman,Spaceman,2024,107,"Adventure,Drama,Romance"
998,The Frozen Ground,tt2005374,The Frozen Ground,No,,5400000,1:45,3100000,The Frozen Ground,1000.0,movie,The Frozen Ground,The Frozen Ground,2013,105,"Biography,Crime,Drama"
1000,The Tourist,tt1243957,The Tourist (2010),No,,5300000,1:44,3100000,The Tourist,2010.0,movie,The Tourist,The Tourist,2010,103,"Action,Thriller"
988,Four Good Days,tt10344522,Four Good Days,No,,5200000,1:41,3100000,Four Good Days,1000.0,movie,Four Good Days,Four Good Days,2020,100,Drama
1001,Two Weeks Notice,tt0313737,Two Weeks Notice,No,,5200000,1:41,3100000,Two Weeks Notice,1000.0,movie,Two Weeks Notice,Two Weeks Notice,2002,101,"Comedy,Romance"
986,Don't Tell Mom the Babysitter's Dead,tt12444168,Don't Tell Mom the Babysitter's Dead (2024),No,,5100000,1:39,3100000,Don't Tell Mom the Babysitter's Dead,2024.0,movie,Don't Tell Mom the Babysitter's Dead,Don't Tell Mom the Babysitter's Dead,2024,99,Comedy
999,The Little Rascals Save the Day,tt2490004,The Little Rascals Save the Day,No,,5100000,1:38,3100000,The Little Rascals Save the Day,1000.0,video,The Little Rascals Save the Day,The Little Rascals Save the Day,2014,98,"Comedy,Family"
983,Clifford the Big Red Dog,tt2397461,Clifford the Big Red Dog (2021),No,,5000000,1:37,3100000,Clifford the Big Red Dog,2021.0,movie,Clifford the Big Red Dog,Clifford the Big Red Dog,2021,96,"Adventure,Comedy,Family"
985,Daddy's Home,tt1528854,Daddy's Home (2015),No,,5000000,1:37,3100000,Daddy's Home,2015.0,movie,Daddy's Home,Daddy's Home,2015,96,"Comedy,Family"
1003,Underdogs,tt1634003,Underdogs // Metegol,No,,5000000,1:37,3100000,Underdogs,1000.0,movie,Underdogs,Metegol,2013,85,"Adventure,Animation,Comedy"
984,Curse of the Seven Seas,tt32495411,Curse of the Seven Seas // Santet Segoro Pitu,Yes,,4800000,1:34,3100000,Curse of the Seven Seas,1000.0,movie,Curse of the Seven Oceans,Santet Segoro Pitu,2024,94,"Horror,Thriller"
979,American Pie Presents: Band Camp,tt0436058,American Pie Presents: Band Camp,No,,4700000,1:31,3100000,American Pie Presents: Band Camp,1000.0,video,American Pie Presents: Band Camp,American Pie Presents: Band Camp,2005,87,Comedy
992,Goosebumps 2: Haunted Halloween,tt5664636,Goosebumps 2: Haunted Halloween,No,,4700000,1:30,3100000,Goosebumps 2: Haunted Halloween,1000.0,movie,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,2018,90,"Adventure,Comedy,Fantasy"
981,Barbie & Chelsea: The Lost Birthday,tt14317062,Barbie & Chelsea: The Lost Birthday,No,,3200000,1:02,3100000,Barbie & Chelsea: The Lost Birthday,1000.0,video,Barbie & Chelsea: The Lost Birthday,Barbie & Chelsea the Lost Birthday,2021,60,"Adventure,Animation,Family"
1021,Saripodhaa Sanivaaram,tt26903104,Saripodhaa Sanivaaram,No,,8700000,2:52,3000000,Saripodhaa Sanivaaram,1000.0,movie,Saripodhaa Sanivaaram,Saripodhaa Sanivaaram,2024,166,"Action,Crime,Drama"
1012,Mission: Impossible - Ghost Protocol,tt1229238,Mission: Impossible - Ghost Protocol,No,,6800000,2:14,3000000,Mission: Impossible - Ghost Protocol,1000.0,movie,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,132,"Action,Adventure,Thriller"
1026,The Karate Kid,tt0087538,The Karate Kid (1984),No,,6400000,2:07,3000000,The Karate Kid,1984.0,movie,The Karate Kid,The Karate Kid,1984,126,"Action,Drama,Family"
1004,20th Century Girl,tt15340724,20th Century Girl // 20__ __,Yes,2022-10-21,6000000,2:01,3000000,20th Century Girl,2022.0,movie,20th Century Girl,20segi sonyeo,2022,119,"Drama,Romance"
1023,That's My Boy,tt1232200,That's My Boy (2012),No,,5800000,1:55,3000000,That's My Boy,2012.0,movie,That's My Boy,That's My Boy,2012,116,"Comedy,Drama"
1014,Night School,tt6781982,Night School (2018),No,,5600000,1:51,3000000,Night School,2018.0,movie,Night School,Night School,2018,111,Comedy
1019,Rifle Club,tt31188121,Rifle Club,No,,5600000,1:52,3000000,Rifle Club,1000.0,movie,Rifle Club,Rifle Club,2024,113,Action
1027,The Last Mercenary,tt12808182,The Last Mercenary // Le dernier mercenaire,Yes,2021-07-30,5600000,1:52,3000000,The Last Mercenary,2021.0,movie,The Last Mercenary,Le dernier mercenaire,2021,110,"Action,Adventure,Comedy"
1007,Five Nights at Freddy's,tt4589218,Five Nights at Freddy's,No,,5500000,1:49,3000000,Five Nights at Freddy's,1000.0,movie,Five Nights at Freddy's,Five Nights at Freddy's,2023,109,"Horror,Mystery,Thriller"
1008,Ghost Rider,tt0259324,Ghost Rider,No,,5500000,1:50,3000000,Ghost Rider,1000.0,movie,Ghost Rider,Ghost Rider,2007,110,"Action,Fantasy,Thriller"
1013,Next Gen,tt7133686,Next Gen,Yes,2018-09-07,5300000,1:46,3000000,Next Gen,2018.0,movie,Next Gen,Next Gen,2018,106,"Action,Adventure,Animation"
1005,Aloha,tt1243974,Aloha,No,,5200000,1:45,3000000,Aloha,1000.0,movie,Aloha,Aloha,2015,105,"Comedy,Drama,Romance"
1024,"The Haunted Apartment ""Miss K""",tt33047058,"The Haunted Apartment ""Miss K"" // Panggonan Wingit 2 ""Miss K""",Yes,,5200000,1:43,3000000,"The Haunted Apartment ""Miss K""",1000.0,movie,The Haunted Apartment: Miss K,Panggonan Wingit 2: Miss K,2024,103,"Horror,Thriller"
1025,The Invitation,tt12873562,The Invitation (2022),No,,5200000,1:45,3000000,The Invitation,2022.0,movie,The Invitation,The Invitation,2022,105,"Horror,Thriller"
1018,Resort to Love,tt12929990,Resort to Love,Yes,2021-07-29,5100000,1:42,3000000,Resort to Love,2021.0,movie,Resort to Love,Resort to Love,2021,101,"Comedy,Romance"
1010,Happy Feet Two,tt1402488,Happy Feet Two,No,,5000000,1:39,3000000,Happy Feet Two,1000.0,movie,Happy Feet Two,Happy Feet Two,2011,100,"Adventure,Animation,Comedy"
1022,Tenor,tt15740736,Tenor // Tnor,No,,5000000,1:41,3000000,Tenor,1000.0,movie,Ténor,Ténor,2022,100,"Comedy,Drama,Music"
1011,Kingdom: Ashin of the North,tt13412252,Kingdom: Ashin of the North // __: ___,Yes,2021-07-23,4700000,1:34,3000000,Kingdom: Ashin of the North,2021.0,tvMovie,Kingdom: Ashin of the North,Kingdom: Ashin-jeon,2021,92,"Action,Drama,Fantasy"
1020,River Runs Red,tt5843780,River Runs Red,No,,4700000,1:34,3000000,River Runs Red,1000.0,movie,River Runs Red,River Runs Red,2018,94,"Drama,Thriller"
1017,Pig,tt11003218,Pig (2021),No,,4600000,1:31,3000000,Pig,2021.0,movie,Pig,Pig,2021,92,"Drama,Mystery"
1009,Gifted Hands: The Ben Carson Story,tt1295085,Gifted Hands: The Ben Carson Story,No,,4500000,1:30,3000000,Gifted Hands: The Ben Carson Story,1000.0,tvMovie,Gifted Hands: The Ben Carson Story,Gifted Hands: The Ben Carson Story,2009,90,"Biography,Drama"
1016,Non Negotiable,tt31227221,Non Negotiable // No negociable,Yes,2024-07-26,4400000,1:27,3000000,Non Negotiable,2024.0,movie,Non Negotiable,No Negociable,2024,87,"Action,Comedy,Thriller"
1015,No One Gets Out Alive,tt13056008,No One Gets Out Alive,Yes,2021-09-29,4300000,1:27,3000000,No One Gets Out Alive,2021.0,movie,No One Gets Out Alive,No One Gets Out Alive,2021,87,"Drama,Horror,Mystery"
1006,Avicii - My Last Show,tt34619547,Avicii - My Last Show,No,2024-12-31,1500000,0:30,3000000,Avicii - My Last Show,2024.0,short,Avicii - My Last Show,Avicii - My Last Show,2024,30,"Music,Short"
1034,Fighter,tt13818368,Fighter // _____,No,,7800000,2:44,2900000,Fighter,1000.0,movie,Fighter,Fighter,2024,166,"Action,Drama"
1040,Kingsman: The Golden Circle,tt4649466,Kingsman: The Golden Circle,No,,6900000,2:22,2900000,Kingsman: The Golden Circle,1000.0,movie,Kingsman: The Golden Circle,Kingsman: The Golden Circle,2017,141,"Action,Adventure,Comedy"
1057,The Missing,tt0338188,The Missing (2003),No,,6600000,2:17,2900000,The Missing,2003.0,movie,The Missing,The Missing,2003,137,"Adventure,Drama,Thriller"
1047,Sector 36,tt21626774,Sector 36 // ______ 36,Yes,2024-09-13,5900000,2:04,2900000,Sector 36,2024.0,movie,Sector 36,Sector 36,2024,123,"Crime,Drama,Thriller"
1036,Guillermo del ToroÕs Pinocchio,tt1488589,Guillermo del ToroÕs Pinocchio,Yes,2022-12-09,5800000,2:02,2900000,Guillermo del ToroÕs Pinocchio,2022.0,movie,Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,2022,117,"Adventure,Animation,Drama"
1043,Outlaw King,tt6679794,Outlaw King,Yes,2018-11-09,5800000,2:02,2900000,Outlaw King,2018.0,movie,Outlaw King,Outlaw King,2018,121,"Action,Biography,Drama"
1055,The HitmanÕs Bodyguard,tt1959563,The HitmanÕs Bodyguard,No,2017-08-25,5800000,1:58,2900000,The HitmanÕs Bodyguard,2017.0,movie,The Hitman's Bodyguard,The Hitman's Bodyguard,2017,118,"Action,Comedy,Crime"
1056,The In Between,tt8851148,The In Between,No,2022-04-08,5700000,1:58,2900000,The In Between,2022.0,movie,The In Between,The In Between,2022,115,"Drama,Fantasy,Romance"
1045,RED 2,tt1821694,RED 2,No,,5600000,1:56,2900000,RED 2,1000.0,movie,RED 2,RED 2,2013,116,"Action,Comedy,Crime"
1035,Godzilla vs. Kong,tt5034838,Godzilla vs. Kong,No,,5500000,1:53,2900000,Godzilla vs. Kong,1000.0,movie,Godzilla vs. Kong,Godzilla vs. Kong,2021,113,"Action,Sci-Fi,Thriller"
1049,The 5th Wave,tt2304933,The 5th Wave,No,,5500000,1:53,2900000,The 5th Wave,1000.0,movie,The 5th Wave,The 5th Wave,2016,112,"Action,Adventure,Sci-Fi"
1031,Dampyr,tt10315050,Dampyr,No,,5400000,1:50,2900000,Dampyr,1000.0,movie,Dampyr,Dampyr,2022,109,"Fantasy,Horror"
1052,The Dilemma,tt1578275,The Dilemma,No,,5400000,1:52,2900000,The Dilemma,1000.0,movie,The Dilemma,The Dilemma,2011,111,"Comedy,Drama"
1030,Cells At Work!,tt27192829,Cells At Work! (2024) // ______,Yes,,5300000,1:51,2900000,Cells At Work!,2024.0,movie,Cells at Work!,Hataraku saibou,2024,109,"Action,Adventure,Comedy"
1053,The Girl Next Door,tt0265208,The Girl Next Door (2004),No,,5300000,1:50,2900000,The Girl Next Door,2004.0,movie,The Girl Next Door,The Girl Next Door,2004,109,"Comedy,Drama,Romance"
1061,"You, Me and Dupree",tt0463034,"You, Me and Dupree",No,,5300000,1:49,2900000,"You, Me and Dupree",1000.0,movie,"You, Me and Dupree","You, Me and Dupree",2006,110,"Comedy,Romance"
1028,About Family,tt26224870,About Family // ___,No,,5200000,1:47,2900000,About Family,1000.0,movie,About Family,About Family,2024,106,Comedy
1058,The Unbearable Weight of Massive Talent,tt11291274,The Unbearable Weight of Massive Talent,No,,5200000,1:47,2900000,The Unbearable Weight of Massive Talent,1000.0,movie,The Unbearable Weight of Massive Talent,The Unbearable Weight of Massive Talent,2022,107,"Action,Comedy,Crime"
1037,Here,tt18272208,Here (2024),No,,5100000,1:44,2900000,Here,2024.0,movie,Here,Here,2024,104,Drama
1048,Thanksgiving,tt1448754,Thanksgiving (2023),No,,5100000,1:46,2900000,Thanksgiving,2023.0,movie,Thanksgiving,Thanksgiving,2023,106,"Comedy,Horror,Mystery"
1038,In Good Hands 2,tt28567745,In Good Hands 2 // Sen Bymeye Bak,Yes,2024-05-23,4900000,1:40,2900000,In Good Hands 2,2024.0,movie,In Good Hands 2,Sen Büyümeye Bak,2024,99,"Comedy,Drama,Romance"
1051,The Babysitter: Killer Queen,tt11024272,The Babysitter: Killer Queen,Yes,2020-09-10,4900000,1:42,2900000,The Babysitter: Killer Queen,2020.0,movie,The Babysitter: Killer Queen,The Babysitter: Killer Queen,2020,101,"Comedy,Horror"
1054,The Hangover: Part II,tt1411697,The Hangover: Part II,No,,4900000,1:42,2900000,The Hangover: Part II,1000.0,movie,The Hangover Part II,The Hangover Part II,2011,102,Comedy
1046,Rim of the World,tt8179388,Rim of the World,Yes,2019-05-24,4800000,1:39,2900000,Rim of the World,2019.0,movie,Rim of the World,Rim of the World,2019,98,"Action,Adventure,Comedy"
1032,Dog Gone,tt15334430,Dog Gone,Yes,2023-01-13,4700000,1:36,2900000,Dog Gone,2023.0,movie,Dog Gone,Dog Gone,2023,95,"Biography,Drama,Family"
1044,Predestination,tt2397535,Predestination,No,,4700000,1:38,2900000,Predestination,1000.0,movie,Predestination,Predestination,2014,97,"Action,Drama,Sci-Fi"
1059,Viking Wolf,tt13051810,Viking Wolf // Vikingulven,Yes,2023-02-03,4700000,1:37,2900000,Viking Wolf,2023.0,movie,Viking Wolf,Vikingulven,2022,97,"Horror,Thriller"
1060,Work It,tt10276470,Work It,Yes,2020-08-07,4600000,1:34,2900000,Work It,2020.0,movie,Work It,Work It,2020,93,"Comedy,Music"
1041,Marmaduke,tt8746404,Marmaduke,No,2022-05-06,4400000,1:30,2900000,Marmaduke,2022.0,movie,Marmaduke,Marmaduke,2022,88,"Adventure,Animation,Comedy"
1033,Fatal Affair,tt11057594,Fatal Affair,Yes,2020-07-16,4300000,1:30,2900000,Fatal Affair,2020.0,movie,Fatal Affair,Fatal Affair,2020,89,"Crime,Horror,Mystery"
1042,Open Season: Scared Silly,tt4938374,Open Season: Scared Silly,No,,4100000,1:25,2900000,Open Season: Scared Silly,1000.0,movie,Open Season: Scared Silly,Open Season: Scared Silly!,2015,84,"Adventure,Animation,Comedy"
1050,The Babysitter,tt4225622,The Babysitter,Yes,2017-10-13,4100000,1:26,2900000,The Babysitter,2017.0,movie,The Babysitter,The Babysitter,2017,85,"Comedy,Horror"
1029,Barbie Princess Adventure,tt12767498,Barbie Princess Adventure,Yes,,3500000,1:12,2900000,Barbie Princess Adventure,1000.0,movie,Barbie Princess Adventure,Barbie Princess Adventure,2020,72,"Animation,Family,Musical"
1039,Ivy + Bean,tt13926132,Ivy + Bean,Yes,2022-09-02,2800000,0:57,2900000,Ivy + Bean,2022.0,movie,Ivy + Bean,Ivy + Bean,2022,56,"Action,Comedy,Family"
1064,Animal,tt13751694,Animal // _____,Yes,,9300000,3:21,2800000,Animal,1000.0,movie,Animal,Animal,2023,204,"Action,Crime,Drama"
1067,Ghost,tt0099653,Ghost (1990),No,,6000000,2:07,2800000,Ghost,1990.0,movie,Ghost,Ghost,1990,126,"Drama,Fantasy,Romance"
1081,The Accountant,tt2140479,The Accountant (2016),No,,5900000,2:08,2800000,The Accountant,2016.0,movie,The Accountant,The Accountant,2016,128,"Action,Crime,Drama"
1082,The Beautiful Game,tt5113010,The Beautiful Game,Yes,2024-03-29,5900000,2:06,2800000,The Beautiful Game,2024.0,movie,The Beautiful Game,The Beautiful Game,2024,125,"Drama,Sport"
1077,Poison Sangga: The Homewrecker's Curse,tt33047499,Poison Sangga: The Homewrecker's Curse // Racun Sangga: Santet Pemisah Rumah Tangga,No,,5500000,1:58,2800000,Poison Sangga: The Homewrecker's Curse,1000.0,movie,Poison Sangga: The Homewrecker's Curse,Racun Sangga: Santet Pemisah Rumah Tangga,2024,118,"Horror,Thriller"
1079,Rogue City,tt10127684,Rogue City // Bronx,No,2020-10-30,5500000,1:56,2800000,Rogue City,2020.0,movie,Rogue City,Bronx,2020,116,"Action,Crime,Drama"
1070,In the Shadow of the Moon,tt8110640,In the Shadow of the Moon,Yes,2019-09-27,5400000,1:56,2800000,In the Shadow of the Moon,2019.0,movie,In the Shadow of the Moon,In the Shadow of the Moon,2019,115,"Action,Crime,Mystery"
1069,Home Sweet Loan,tt33183823,Home Sweet Loan,Yes,,5300000,1:52,2800000,Home Sweet Loan,1000.0,movie,Home Sweet Loan,Home Sweet Loan,2024,112,"Drama,Family"
1076,No Pressure,tt31713069,No Pressure // Nic naÊsi__,Yes,2024-03-27,5300000,1:53,2800000,No Pressure,2024.0,movie,No Pressure,Nic na sile,2024,111,"Comedy,Romance"
1066,Father Figures,tt1966359,Father Figures (2017),No,,5200000,1:53,2800000,Father Figures,2017.0,movie,Father Figures,Father Figures,2017,113,"Comedy,Drama"
1075,My Future You,tt32241752,My Future You,Yes,,5200000,1:50,2800000,My Future You,1000.0,movie,My Future You,My Future You,2024,109,"Comedy,Drama,Fantasy"
1080,Sand Castle,tt2582576,Sand Castle,Yes,2017-04-21,5200000,1:53,2800000,Sand Castle,2017.0,movie,Sand Castle,Sand Castle,2017,113,"Action,Drama,War"
1084,The Interview,tt2788710,The Interview (2014),No,,5200000,1:52,2800000,The Interview,2014.0,movie,The Interview,The Interview,2014,112,"Action,Adventure,Comedy"
1086,The Long Game,tt7738330,The Long Game (2023),No,,5200000,1:52,2800000,The Long Game,2023.0,movie,The Long Game,The Long Game,2023,112,"Drama,History,Sport"
1063,A True Gentleman,tt23218054,A True Gentleman // Tam Bir Centilmen,Yes,2024-09-26,5100000,1:51,2800000,A True Gentleman,2024.0,movie,A True Gentleman,Tam Bir Centilmen,2024,110,"Drama,Romance"
1083,The Dirt,tt0800325,The Dirt,Yes,2019-03-22,5000000,1:48,2800000,The Dirt,2019.0,movie,The Dirt,The Dirt,2019,107,"Biography,Comedy,Drama"
1085,The Last Airbender,tt0938283,The Last Airbender,No,,4900000,1:44,2800000,The Last Airbender,1000.0,movie,The Last Airbender,The Last Airbender,2010,103,"Action,Adventure,Family"
1087,The Storied Life of A.J. Fikry,tt10643926,The Storied Life of A.J. Fikry,No,,4900000,1:45,2800000,The Storied Life of A.J. Fikry,1000.0,movie,The Storied Life of A.J. Fikry,The Storied Life of A.J. Fikry,2022,105,"Comedy,Drama"
1068,Girl in the Picture,tt21059520,Girl in the Picture,Yes,2022-07-06,4800000,1:43,2800000,Girl in the Picture,2022.0,movie,Girl in the Picture,Girl in the Picture,2022,101,"Crime,Documentary,Mystery"
1073,Little Fockers,tt0970866,Little Fockers,No,,4700000,1:39,2800000,Little Fockers,1000.0,movie,Little Fockers,Little Fockers,2010,98,"Comedy,Romance"
1065,Awake,tt10418662,Awake,Yes,2021-06-09,4600000,1:37,2800000,Awake,2021.0,movie,Awake,Awake,2021,96,"Action,Adventure,Drama"
1072,Les Segpa,tt19733052,Les Segpa,No,,4600000,1:39,2800000,Les Segpa,1000.0,movie,Les Segpa,Les Segpa,2022,99,Comedy
1062,A Second Chance:  Rivals!,tt9810420,A Second Chance:  Rivals!,Yes,2021-07-23,4200000,1:29,2800000,A Second Chance:  Rivals!,2021.0,movie,A Second Chance: Rivals!,A Second Chance: Rivals!,2019,89,"Drama,Family,Sport"
1074,Love is in the Air,tt2298384,Love is in the Air,Yes,2023-09-28,4100000,1:29,2800000,Love is in the Air,2023.0,movie,Love is in the Air,Amour & turbulences,2013,96,"Comedy,Romance"
1071,Jules,tt15428940,Jules (2023),No,,4000000,1:27,2800000,Jules,2023.0,movie,Jules,Jules,2023,87,"Comedy,Drama,Sci-Fi"
1078,Problem Child,tt0100419,Problem Child (1990),No,,3800000,1:21,2800000,Problem Child,1990.0,movie,Problem Child,Problem Child,1990,81,"Comedy,Family"
1096,Heat,tt0113277,Heat (1995),No,,7600000,2:50,2700000,Heat,1995.0,movie,Heat,Heat,1995,170,"Action,Crime,Drama"
1107,Thangalaan,tt23018924,Thangalaan,No,,6600000,2:29,2700000,Thangalaan,1000.0,movie,Thangalaan,Thangalaan,2024,156,"Action,Adventure,Drama"
1116,Vicky Vidya ka Woh Wala Video,tt29330913,Vicky Vidya ka Woh Wala Video // ____ ______ __ __ ____ ______,Yes,,6500000,2:22,2700000,Vicky Vidya ka Woh Wala Video,1000.0,movie,Vicky Vidya Ka Woh Wala Video,Vicky Vidya Ka Woh Wala Video,2024,152,Comedy
1099,Maharaj,tt4501268,Maharaj // ______,Yes,2024-06-21,5800000,2:11,2700000,Maharaj,2024.0,movie,Maharaj,Maharaj,2024,131,"Biography,Crime,Drama"
1110,The First Slam Dunk,tt15242330,The First Slam Dunk,No,,5600000,2:04,2700000,The First Slam Dunk,1000.0,movie,The First Slam Dunk,The First Slam Dunk,2022,124,"Animation,Comedy,Drama"
1090,Crew,tt21383812,Crew // ____,Yes,,5400000,2:01,2700000,Crew,1000.0,movie,Crew,Crew,2024,118,"Comedy,Drama"
1097,John Wick: Chapter 2,tt4425200,John Wick: Chapter 2,No,,5400000,2:02,2700000,John Wick: Chapter 2,1000.0,movie,John Wick: Chapter 2,John Wick: Chapter 2,2017,122,"Action,Crime,Thriller"
1092,Escape Plan,tt1211956,Escape Plan,No,,5300000,1:56,2700000,Escape Plan,1000.0,movie,Escape Plan,Escape Plan,2013,115,"Action,Thriller"
1106,Smile,tt15474916,Smile (2022),No,,5300000,1:56,2700000,Smile,2022.0,movie,Smile,Smile,2022,115,"Horror,Mystery,Thriller"
1089,Assassin's Creed,tt2094766,Assassin's Creed,No,,5200000,1:55,2700000,Assassin's Creed,1000.0,movie,Assassin's Creed,Assassin's Creed,2016,115,"Action,Adventure,Sci-Fi"
1118,Welcome Home Roscoe Jenkins,tt0494652,Welcome Home Roscoe Jenkins,No,,5100000,1:54,2700000,Welcome Home Roscoe Jenkins,1000.0,movie,"Welcome Home, Roscoe Jenkins",Welcome Home Roscoe Jenkins,2008,114,"Comedy,Romance"
1091,Detective Conan: The Million-Dollar Pentagram,tt31474158,Detective Conan: The Million-Dollar Pentagram // ___ ______ 100_______,No,,5000000,1:50,2700000,Detective Conan: The Million-Dollar Pentagram,1000.0,movie,Detective Conan: The Million-Dollar Pentagram,Meitantei Konan Hyakuman Doru no Michishirube,2024,111,"Animation,Mystery,Romance"
1103,Rez Ball,tt15181360,Rez Ball,Yes,2024-09-27,5000000,1:53,2700000,Rez Ball,2024.0,movie,Rez Ball,Rez Ball,2024,111,"Drama,Sport"
1100,My Hero Academia: You're Next,tt32176689,My Hero Academia: You're Next // ___________ THE MOVIE __ ____,No,,4900000,1:50,2700000,My Hero Academia: You're Next,1000.0,movie,My Hero Academia: You're Next,Boku no Hîrô Akademia za Mûbî Yuâ Nekusuto,2024,110,"Action,Adventure,Animation"
1109,The Deep End of the Ocean,tt0120646,The Deep End of the Ocean,No,,4900000,1:49,2700000,The Deep End of the Ocean,1000.0,movie,The Deep End of the Ocean,The Deep End of the Ocean,1999,106,Drama
1095,Happy Feet,tt0366548,Happy Feet,No,,4800000,1:48,2700000,Happy Feet,1000.0,movie,Happy Feet,Happy Feet,2006,108,"Adventure,Animation,Comedy"
1120,When the Bough Breaks,tt1389139,When the Bough Breaks (2016),No,,4800000,1:47,2700000,When the Bough Breaks,2016.0,movie,When the Bough Breaks,When the Bough Breaks,2016,107,"Drama,Thriller"
1113,Trollhunters: Rise of the Titans,tt12851396,Trollhunters: Rise of the Titans,Yes,2021-07-21,4700000,1:46,2700000,Trollhunters: Rise of the Titans,2021.0,movie,Trollhunters: Rise of the Titans,Trollhunters: Rise of the Titans,2021,104,"Action,Adventure,Animation"
