,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
41,Mission: Impossible - Dead Reckoning,tt9603212,Mission: Impossible - Dead Reckoning,No,,85000000,2:44,31100000,Mission: Impossible - Dead Reckoning,1000.0,movie,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,2023,163,"Action,Adventure,Thriller"
42,Rebel Ridge,tt11301886,Rebel Ridge,Yes,2024-09-06,68500000,2:12,31100000,Rebel Ridge,2024.0,movie,Rebel Ridge,Rebel Ridge,2024,131,"Action,Crime,Drama"
43,The Equalizer 2,tt3766354,The Equalizer 2,No,,59800000,2:01,29700000,The Equalizer 2,1000.0,movie,The Equalizer 2,The Equalizer 2,2018,121,"Action,Crime,Mystery"
44,Squad 36,tt31032711,Squad 36 // Bastion 36,Yes,2025-02-28,61100000,2:05,29300000,Squad 36,2025.0,movie,Squad 36,Bastion 36,2025,124,"Crime,Drama,Thriller"
46,The Six Triple Eight,tt24458622,The Six Triple Eight,Yes,2024-12-20,62300000,2:10,28800000,The Six Triple Eight,2024.0,movie,The Six Triple Eight,The Six Triple Eight,2024,127,"Drama,History,War"
45,Lucca's World,tt28657879,Lucca's World // Los dos hemisferios de Lucca,Yes,2025-01-31,46600000,1:37,28800000,Lucca's World,2025.0,movie,Lucca's World,Los dos hemisferios de Lucca,2025,96,Drama
47,Hotel Transylvania 2,tt2510894,Hotel Transylvania 2,No,,42700000,1:30,28500000,Hotel Transylvania 2,1000.0,movie,Hotel Transylvania 2,Hotel Transylvania 2,2015,89,"Adventure,Animation,Comedy"
48,The Union,tt12610390,The Union,Yes,2024-08-16,51600000,1:49,28400000,The Union,2024.0,movie,The Union,The Union,2024,107,"Action,Comedy,Thriller"
49,Puss in Boots: The Last Wish,tt3915174,Puss in Boots: The Last Wish,No,,47600000,1:42,28000000,Puss in Boots: The Last Wish,1000.0,movie,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,2022,102,"Action,Adventure,Animation"
50,Uncharted,tt1464335,Uncharted (2022),No,,53300000,1:56,27600000,Uncharted,2022.0,movie,Uncharted,Uncharted,2022,116,"Action,Adventure"
